WHATEVERTON,Wednesday+ Sunday,20:00+ 21:00,Φωκιανό +City Soccer Aιγάλεω/Eλαιώνας
Drink team🍻,Tuesday+ Friday+ Saturday,20:00+ 21:00,Φωκιανό+ AFC
Αμπαλοι,Saturday+ Sunday,21:00+ 22:00,Φωκιανό+AFC 
ΠΑΠΕΙΝΤ ΒΙΕΝΝΗΣ,Saturday+ Sunday,13:00 έως 16:00+ 20:00,City Soccer Aιγάλεω/Eλαιώνας+ Renti
Βουνά fc,Monday+ Tuesday+ Thursday,22:00+ 23:00,Φωκιανό+City Soccer Aιγάλεω/Eλαιώνας
ΑΤΑΛΕΝΤΑ,Monday+ Wednesday,21:00+ 22:00,Φωκιανό+City Soccer Aιγάλεω/Eλαιώνας
Λοχρητες 301,Tuesday+ Saturday,13:00 έως 16:00+ 22:00,Φωκιανό+ Renti
Τιγρέ Σποράκια,Saturday+ Sunday,20:00+ 21:00+ 22:00+ 23:00,Φωκιανό+AFC 
Baca juniors,Wednesday+ Thursday,20:00+ 21:00,AFC+City Soccer Aιγάλεω/Eλαιώνας
Νερατζουρι,Monday+ Wednesday+ Thursday,13:00 έως 16:00+ 20:00+ 21:00+ 22:00,Φωκιανό+AFC + Αθλητικό Κέντρο Γουδί
ΚΑΠΗ ΕΦ.ΣΙ.,Friday+ Saturday+ Sunday,13:00 έως 16:00+ 20:00,Renti+ Αθλητικό Γήπεδο Ηλιούπολης 
Μιδελταδες,Saturday+ Sunday,21:00+ 22:00+ 23:00,AFC+ Renti
Rapid Kallitheas,Monday+ Saturday+ Sunday,13:00 έως 16:00+ 21:00+ 22:00,Φωκιανό+ Renti+City Soccer Aιγάλεω/Eλαιώνας
Φονικά Μούσμουλα,Monday+ Tuesday+ Wednesday+ Thursday+ Friday+ Saturday+ Sunday,20:00+ 21:00+ 22:00,Φωκιανό+ Αθλητικό Κέντρο Γουδί
ETSI FC,Tuesday+ Sunday,13:00 έως 16:00+ 21:00,Φωκιανό+City Soccer Aιγάλεω/Eλαιώνας
Παρτουζαν,Monday+ Tuesday+ Friday+ Saturday+ Sunday,20:00+ 21:00+ 22:00,Φωκιανό+AFC + Αθλητικό Γήπεδο Ηλιούπολης 
Ρεμάλ Μαδρίτης,Monday+ Wednesday+ Thursday,20:00+ 21:00,Φωκιανό+AFC 
BLUE FLAME LOCOS,Monday+ Tuesday,13:00 έως 16:00+ 22:00,Φωκιανό+ Αθλητικό Κέντρο Γουδί
KOUVADEIROS,Tuesday+ Friday,20:00+ 21:00+ 22:00,Αθλητικό Γήπεδο Ηλιούπολης + Αθλητικό Κέντρο Γουδί
ΑΛΑΝΙΑΣΠΟΡ,Tuesday+ Wednesday,20:00+ 21:00+ 22:00,Φωκιανό+ Renti+City Soccer Aιγάλεω/Eλαιώνας
